#  Energy (eV) |  DOS (states/eV)
  -51.27278924    0.0000000000
  -51.23419718    0.0000000000
  -51.19560513    0.0000000000
  -51.15701308    0.0000000000
  -51.11842102    0.0000000000
  -51.07982897    0.0000000000
  -51.04123692    0.0000000000
  -51.00264487    0.0000000000
  -50.96405281    0.0000000000
  -50.92546076    0.0000000000
  -50.88686871    0.0000000000
  -50.84827665    0.0000000000
  -50.80968460    0.0000000000
  -50.77109255    0.0000000000
  -50.73250050    0.0000000000
  -50.69390844    0.0000000000
  -50.65531639    0.0000000000
  -50.61672434    0.0000000000
  -50.57813228    0.0000000000
  -50.53954023    0.0000000000
  -50.50094818    0.0000000000
  -50.46235613    0.0000000000
  -50.42376407    0.0000000000
  -50.38517202    0.0000000000
  -50.34657997    0.0000000000
  -50.30798791    0.0000000000
  -50.26939586    0.0000000000
  -50.23080381    0.0000000000
  -50.19221176    0.0000000000
  -50.15361970    0.0000000000
  -50.11502765    0.0000000000
  -50.07643560    0.0000000000
  -50.03784354    0.0000000000
  -49.99925149    0.0000000000
  -49.96065944    0.0000000000
  -49.92206739    0.0000000000
  -49.88347533    0.0000000000
  -49.84488328    0.0000000000
  -49.80629123    0.0000000000
  -49.76769917    0.0000000000
  -49.72910712    0.0000000000
  -49.69051507    0.0000000000
  -49.65192302    0.0000000000
  -49.61333096    0.0000000000
  -49.57473891    0.0000000000
  -49.53614686    0.0000000000
  -49.49755480    0.0000000000
  -49.45896275    0.0000000000
  -49.42037070    0.0000000000
  -49.38177865    0.0000000000
  -49.34318659    0.0000000000
  -49.30459454    0.0000000000
  -49.26600249    0.0000000000
  -49.22741043    0.0000000000
  -49.18881838    0.0000000000
  -49.15022633    0.0000000000
  -49.11163428    0.0000000000
  -49.07304222    0.0000000000
  -49.03445017    0.0000000000
  -48.99585812    0.0000000000
  -48.95726606    0.0000000000
  -48.91867401    0.0000000000
  -48.88008196    0.0000000000
  -48.84148991    0.0000000009
  -48.80289785    0.0000000166
  -48.76430580    0.0000002562
  -48.72571375    0.0000032323
  -48.68712169    0.0000332812
  -48.64852964    0.0002800546
  -48.60993759    0.0019294711
  -48.57134554    0.0109110081
  -48.53275348    0.0508128348
  -48.49416143    0.1957407937
  -48.45556938    0.6273065379
  -48.41697732    1.6849020468
  -48.37838527    3.8294465706
  -48.33979322    7.4614603863
  -48.30120117   12.7001957293
  -48.26260911   19.4188029629
  -48.22401706   27.7117935777
  -48.18542501   38.4307704032
  -48.14683295   53.0000209681
  -48.10824090   72.1812563751
  -48.06964885   94.6287904171
  -48.03105680  116.6507183993
  -47.99246474  133.6394002803
  -47.95387269  142.0622512220
  -47.91528064  140.6274789391
  -47.87668858  130.4514966444
  -47.83809653  114.6804453802
  -47.79950448   97.3642643074
  -47.76091243   81.5224404720
  -47.72232037   67.7718228797
  -47.68372832   54.9813400693
  -47.64513627   42.2718495151
  -47.60654421   30.1758933350
  -47.56795216   20.0231974660
  -47.52936011   12.7264730923
  -47.49076806    8.3220473130
  -47.45217600    6.2323059437
  -47.41358395    5.5617363915
  -47.37499190    5.3051762170
  -47.33639984    4.7029503101
  -47.29780779    3.5758208945
  -47.25921574    2.2553974693
  -47.22062369    1.1654722150
  -47.18203163    0.4911824093
  -47.14343958    0.1685501103
  -47.10484753    0.0470650545
  -47.06625547    0.0106919058
  -47.02766342    0.0019758922
  -46.98907137    0.0002970365
  -46.95047932    0.0000363237
  -46.91188726    0.0000036133
  -46.87329521    0.0000002924
  -46.83470316    0.0000000192
  -46.79611110    0.0000000010
  -46.75751905    0.0000000000
  -46.71892700    0.0000000000
  -46.68033495    0.0000000000
  -46.64174289    0.0000000000
  -46.60315084    0.0000000000
  -46.56455879    0.0000000000
  -46.52596673    0.0000000000
  -46.48737468    0.0000000000
  -46.44878263    0.0000000000
  -46.41019058    0.0000000000
  -46.37159852    0.0000000000
  -46.33300647    0.0000000000
  -46.29441442    0.0000000000
  -46.25582236    0.0000000000
  -46.21723031    0.0000000000
  -46.17863826    0.0000000000
  -46.14004621    0.0000000000
  -46.10145415    0.0000000000
  -46.06286210    0.0000000000
  -46.02427005    0.0000000000
  -45.98567799    0.0000000000
  -45.94708594    0.0000000000
  -45.90849389    0.0000000000
  -45.86990184    0.0000000000
  -45.83130978    0.0000000000
  -45.79271773    0.0000000000
  -45.75412568    0.0000000000
  -45.71553362    0.0000000000
  -45.67694157    0.0000000000
  -45.63834952    0.0000000000
  -45.59975746    0.0000000000
  -45.56116541    0.0000000000
  -45.52257336    0.0000000000
  -45.48398131    0.0000000000
  -45.44538925    0.0000000000
  -45.40679720    0.0000000000
  -45.36820515    0.0000000000
  -45.32961309    0.0000000000
  -45.29102104    0.0000000000
  -45.25242899    0.0000000000
  -45.21383694    0.0000000000
  -45.17524488    0.0000000000
  -45.13665283    0.0000000000
  -45.09806078    0.0000000000
  -45.05946872    0.0000000000
  -45.02087667    0.0000000000
  -44.98228462    0.0000000000
  -44.94369257    0.0000000000
  -44.90510051    0.0000000000
  -44.86650846    0.0000000000
  -44.82791641    0.0000000000
  -44.78932435    0.0000000000
  -44.75073230    0.0000000000
  -44.71214025    0.0000000000
  -44.67354820    0.0000000000
  -44.63495614    0.0000000000
  -44.59636409    0.0000000000
  -44.55777204    0.0000000000
  -44.51917998    0.0000000000
  -44.48058793    0.0000000000
  -44.44199588    0.0000000000
  -44.40340383    0.0000000000
  -44.36481177    0.0000000000
  -44.32621972    0.0000000000
  -44.28762767    0.0000000000
  -44.24903561    0.0000000000
  -44.21044356    0.0000000000
  -44.17185151    0.0000000000
  -44.13325946    0.0000000000
  -44.09466740    0.0000000000
  -44.05607535    0.0000000000
  -44.01748330    0.0000000000
  -43.97889124    0.0000000000
  -43.94029919    0.0000000000
  -43.90170714    0.0000000000
  -43.86311509    0.0000000000
  -43.82452303    0.0000000000
  -43.78593098    0.0000000000
  -43.74733893    0.0000000000
  -43.70874687    0.0000000000
  -43.67015482    0.0000000000
  -43.63156277    0.0000000000
  -43.59297072    0.0000000000
  -43.55437866    0.0000000000
  -43.51578661    0.0000000000
  -43.47719456    0.0000000000
  -43.43860250    0.0000000000
  -43.40001045    0.0000000000
  -43.36141840    0.0000000000
  -43.32282635    0.0000000000
  -43.28423429    0.0000000000
  -43.24564224    0.0000000000
  -43.20705019    0.0000000000
  -43.16845813    0.0000000000
  -43.12986608    0.0000000000
  -43.09127403    0.0000000000
  -43.05268198    0.0000000000
  -43.01408992    0.0000000000
  -42.97549787    0.0000000000
  -42.93690582    0.0000000000
  -42.89831376    0.0000000000
  -42.85972171    0.0000000000
  -42.82112966    0.0000000000
  -42.78253761    0.0000000000
  -42.74394555    0.0000000000
  -42.70535350    0.0000000000
  -42.66676145    0.0000000000
  -42.62816939    0.0000000000
  -42.58957734    0.0000000000
  -42.55098529    0.0000000000
  -42.51239324    0.0000000000
  -42.47380118    0.0000000000
  -42.43520913    0.0000000000
  -42.39661708    0.0000000000
  -42.35802502    0.0000000000
  -42.31943297    0.0000000000
  -42.28084092    0.0000000000
  -42.24224887    0.0000000000
  -42.20365681    0.0000000000
  -42.16506476    0.0000000000
  -42.12647271    0.0000000000
  -42.08788065    0.0000000000
  -42.04928860    0.0000000000
  -42.01069655    0.0000000000
  -41.97210450    0.0000000000
  -41.93351244    0.0000000000
  -41.89492039    0.0000000000
  -41.85632834    0.0000000000
  -41.81773628    0.0000000000
  -41.77914423    0.0000000000
  -41.74055218    0.0000000000
  -41.70196013    0.0000000000
  -41.66336807    0.0000000000
  -41.62477602    0.0000000000
  -41.58618397    0.0000000000
  -41.54759191    0.0000000000
  -41.50899986    0.0000000000
  -41.47040781    0.0000000000
  -41.43181576    0.0000000000
  -41.39322370    0.0000000000
  -41.35463165    0.0000000000
  -41.31603960    0.0000000000
  -41.27744754    0.0000000000
  -41.23885549    0.0000000000
  -41.20026344    0.0000000000
  -41.16167139    0.0000000000
  -41.12307933    0.0000000000
  -41.08448728    0.0000000000
  -41.04589523    0.0000000000
  -41.00730317    0.0000000000
  -40.96871112    0.0000000000
  -40.93011907    0.0000000000
  -40.89152702    0.0000000000
  -40.85293496    0.0000000000
  -40.81434291    0.0000000000
  -40.77575086    0.0000000000
  -40.73715880    0.0000000000
  -40.69856675    0.0000000000
  -40.65997470    0.0000000000
  -40.62138265    0.0000000000
  -40.58279059    0.0000000000
  -40.54419854    0.0000000000
  -40.50560649    0.0000000000
  -40.46701443    0.0000000000
  -40.42842238    0.0000000000
  -40.38983033    0.0000000000
  -40.35123828    0.0000000000
  -40.31264622    0.0000000000
  -40.27405417    0.0000000000
  -40.23546212    0.0000000000
  -40.19687006    0.0000000000
  -40.15827801    0.0000000000
  -40.11968596    0.0000000000
  -40.08109390    0.0000000000
  -40.04250185    0.0000000000
  -40.00390980    0.0000000000
  -39.96531775    0.0000000000
  -39.92672569    0.0000000000
  -39.88813364    0.0000000000
  -39.84954159    0.0000000000
  -39.81094953    0.0000000000
  -39.77235748    0.0000000000
  -39.73376543    0.0000000000
  -39.69517338    0.0000000000
  -39.65658132    0.0000000000
  -39.61798927    0.0000000000
  -39.57939722    0.0000000000
  -39.54080516    0.0000000000
  -39.50221311    0.0000000000
  -39.46362106    0.0000000000
  -39.42502901    0.0000000000
  -39.38643695    0.0000000000
  -39.34784490    0.0000000000
  -39.30925285    0.0000000000
  -39.27066079    0.0000000000
  -39.23206874    0.0000000000
  -39.19347669    0.0000000000
  -39.15488464    0.0000000000
  -39.11629258    0.0000000000
  -39.07770053    0.0000000000
  -39.03910848    0.0000000000
  -39.00051642    0.0000000000
  -38.96192437    0.0000000000
  -38.92333232    0.0000000000
  -38.88474027    0.0000000000
  -38.84614821    0.0000000000
  -38.80755616    0.0000000000
  -38.76896411    0.0000000000
